,Journal,Keyword,Year,Count
0,Computers & Geosciences,machine learning,2012.0,2
1,Computers & Geosciences,machine learning,2013.0,3
2,Computers & Geosciences,machine learning,2014.0,2
3,Computers & Geosciences,machine learning,2015.0,5
4,Computers & Geosciences,machine learning,2016.0,1
5,Computers & Geosciences,machine learning,2017.0,1
6,Computers & Geosciences,machine learning,2018.0,2
7,Computers & Geosciences,machine learning,2019.0,8
8,Computers & Geosciences,machine learning,2020.0,12
9,Computers & Geosciences,machine learning,2021.0,18
10,Computers & Geosciences,machine learning,2022.0,18
11,Computers & Geosciences,Markov processes,1980.0,1
12,Computers & Geosciences,GIS,1989.0,1
13,Computers & Geosciences,GIS,1991.0,2
14,Computers & Geosciences,GIS,1992.0,3
15,Computers & Geosciences,GIS,1993.0,1
16,Computers & Geosciences,GIS,1994.0,3
17,Computers & Geosciences,GIS,1995.0,5
18,Computers & Geosciences,GIS,1996.0,4
19,Computers & Geosciences,GIS,1997.0,7
20,Computers & Geosciences,GIS,1998.0,5
21,Computers & Geosciences,GIS,1999.0,5
22,Computers & Geosciences,GIS,2000.0,6
23,Computers & Geosciences,GIS,2001.0,3
24,Computers & Geosciences,GIS,2002.0,8
25,Computers & Geosciences,GIS,2003.0,7
26,Computers & Geosciences,GIS,2004.0,12
27,Computers & Geosciences,GIS,2005.0,11
28,Computers & Geosciences,GIS,2006.0,20
29,Computers & Geosciences,GIS,2007.0,8
30,Computers & Geosciences,GIS,2008.0,13
31,Computers & Geosciences,GIS,2009.0,22
32,Computers & Geosciences,GIS,2010.0,15
33,Computers & Geosciences,GIS,2011.0,23
34,Computers & Geosciences,GIS,2012.0,26
35,Computers & Geosciences,GIS,2013.0,21
36,Computers & Geosciences,GIS,2014.0,19
37,Computers & Geosciences,GIS,2015.0,13
38,Computers & Geosciences,GIS,2016.0,10
39,Computers & Geosciences,GIS,2017.0,11
40,Computers & Geosciences,GIS,2018.0,9
41,Computers & Geosciences,GIS,2019.0,4
42,Computers & Geosciences,GIS,2020.0,2
43,Computers & Geosciences,GIS,2021.0,5
44,Computers & Geosciences,GIS,2022.0,1
45,Mathematical Geosciences,machine learning,2008.0,1
46,Mathematical Geosciences,machine learning,2020.0,3
47,Mathematical Geosciences,machine learning,2021.0,4
48,Mathematical Geosciences,machine learning,2022.0,9
49,Mathematical Geosciences,Markov processes,1999.0,1
50,Mathematical Geosciences,GIS,1991.0,1
51,Mathematical Geosciences,GIS,1993.0,2
52,Mathematical Geosciences,GIS,2000.0,2
53,Mathematical Geosciences,GIS,2003.0,1
54,Mathematical Geosciences,GIS,2005.0,1
55,Mathematical Geosciences,GIS,2006.0,1
56,Mathematical Geosciences,GIS,2008.0,3
57,Mathematical Geosciences,GIS,2011.0,2
58,Mathematical Geosciences,GIS,2012.0,1
59,Mathematical Geosciences,GIS,2014.0,3
60,Mathematical Geosciences,GIS,2015.0,1
61,Mathematical Geosciences,GIS,2019.0,1
62,Mathematical Geosciences,GIS,2020.0,2
63,Mathematical Geosciences,GIS,2021.0,1
64,Natural Resources Research,machine learning,2017.0,1
65,Natural Resources Research,machine learning,2018.0,2
66,Natural Resources Research,machine learning,2019.0,4
67,Natural Resources Research,machine learning,2020.0,9
68,Natural Resources Research,machine learning,2021.0,11
69,Natural Resources Research,machine learning,2022.0,14
70,Natural Resources Research,GIS,2015.0,2
71,Natural Resources Research,GIS,2016.0,1
72,Natural Resources Research,GIS,2017.0,3
73,Natural Resources Research,GIS,2018.0,2
74,Natural Resources Research,GIS,2019.0,10
75,Natural Resources Research,GIS,2020.0,7
76,Natural Resources Research,GIS,2021.0,5
77,Natural Resources Research,GIS,2022.0,8
