,date,name,category,value
1,2012-01-01,machine learning,0,2,
2,2013-01-01,machine learning,0,3,
3,2014-01-01,machine learning,0,2,
4,2015-01-01,machine learning,0,5,
5,2016-01-01,machine learning,0,1,
6,2017-01-01,machine learning,0,1,
7,2018-01-01,machine learning,0,2,
8,2019-01-01,machine learning,0,8,
9,2020-01-01,machine learning,0,12,
10,2021-01-01,machine learning,0,18,
11,2022-01-01,machine learning,0,18,
12,1980-01-01,Markov processes,1,1
13,1989-01-01,GIS,2,1
14,1991-01-01,GIS,2,2
15,1992-01-01,GIS,2,3
16,1993-01-01,GIS,2,1
17,1994-01-01,GIS,2,3
18,1995-01-01,GIS,2,5
19,1996-01-01,GIS,2,4
20,1997-01-01,GIS,2,7
21,1998-01-01,GIS,2,5
22,1999-01-01,GIS,2,5
23,2000-01-01,GIS,2,6
24,2001-01-01,GIS,2,3
25,2002-01-01,GIS,2,8
26,2003-01-01,GIS,2,7
27,2004-01-01,GIS,2,12
28,2005-01-01,GIS,2,11
29,2006-01-01,GIS,2,20
30,2007-01-01,GIS,2,8
31,2008-01-01,GIS,2,13
32,2009-01-01,GIS,2,22
33,2010-01-01,GIS,2,15
34,2011-01-01,GIS,2,23
35,2012-01-01,GIS,2,26
36,2013-01-01,GIS,2,21
37,2014-01-01,GIS,2,19
38,2015-01-01,GIS,2,13
39,2016-01-01,GIS,2,10
40,2017-01-01,GIS,2,11
41,2018-01-01,GIS,2,9
42,2019-01-01,GIS,2,4
43,2020-01-01,GIS,2,2
44,2021-01-01,GIS,2,5
45,2022-01-01,GIS,2,1
46,2008-01-01,machine learning,0,1
47,2020-01-01,machine learning,0,3
48,2021-01-01,machine learning,0,4
49,2022-01-01,machine learning,0,9
50,1999-01-01,Markov processes,1,1
51,1991-01-01,GIS,2,1
52,1993-01-01,GIS,2,2
53,2000-01-01,GIS,2,2
54,2003-01-01,GIS,2,1
55,2005-01-01,GIS,2,1
56,2006-01-01,GIS,2,1
57,2008-01-01,GIS,2,3
58,2011-01-01,GIS,2,2
59,2012-01-01,GIS,2,1
60,2014-01-01,GIS,2,3
61,2015-01-01,GIS,2,1
62,2019-01-01,GIS,2,1
63,2020-01-01,GIS,2,2
64,2021-01-01,GIS,2,1
65,2017-01-01,machine learning,0,1
66,2018-01-01,machine learning,0,2
67,2019-01-01,machine learning,0,4
68,2020-01-01,machine learning,0,9
69,2021-01-01,machine learning,0,11
70,2022-01-01,machine learning,0,14
71,2015-01-01,GIS,2,2
72,2016-01-01,GIS,2,1
73,2017-01-01,GIS,2,3
74,2018-01-01,GIS,2,2
75,2019-01-01,GIS,2,10
76,2020-01-01,GIS,2,7
77,2021-01-01,GIS,2,5
78,2022-01-01,GIS,2,8
